title,genre,bpm,pop,year
STARSTRUKK (feat. Katy Perry),dance pop,140,70,2010
My First Kiss (feat. Ke$ha),dance pop,138,68,2010
I Need A Dollar,pop soul,95,72,2010
Airplanes (feat. Hayley Williams of Paramore),alt hip hop,93,80,2010
Nothin' on You (feat. Bruno Mars),alt hip hop,104,79,2010
Magic (feat. Rivers Cuomo),alt hip hop,82,71,2010
The Time (Dirty Bit),dance pop,128,75,2010
Imma Be,dance pop,92,71,2010
Talking to the Moon,dance pop,146,87,2010
Just the Way You Are,dance pop,109,86,2010
Teach Me How to Dougie,pop rap,85,71,2010
Forget You,alt hip hop,127,69,2010
Deuces (feat. Tyga & Kevin McCall),dance pop,74,74,2010
Memories (feat. Kid Cudi),big room,130,74,2010
Gettin' Over You (feat. Fergie & LMFAO),big room,130,55,2010
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",dance pop,150,55,2010
Over,canadian hip hop,100,72,2010
Find Your Love,canadian hip hop,96,70,2010
Barbra Streisand (Radio Edit),disco house,128,61,2010
Stereo Love - Radio Edit,romanian house,127,71,2010
Pack Up,lilith,133,46,2010
Starry Eyed,dance pop,150,59,2010
Love The Way You Lie,detroit hip hop,87,87,2010
Not Afraid,detroit hip hop,115,85,2010
I Like It,dance pop,129,71,2010
Kickstarts,dance pop,126,69,2010
Like A G6,asian american hip hop,125,75,2010
Club Can't Handle Me (feat. David Guetta),dance pop,128,81,2010
Hot - Malibu Breeze Radio Edit,dance pop,128,43,2010
Replay,dance pop,91,78,2010
Whatcha Say,dance pop,144,72,2010
Ridin' Solo,dance pop,89,70,2010
In My Head,dance pop,110,67,2010
Down,dance pop,132,83,2010
Do You Remember,dance pop,126,74,2010
Young Forever,east coast hip hop,140,71,2010
Heartbreak Warfare,neo mellow,97,69,2010
Half of My Heart,neo mellow,115,68,2010
Baby,canadian pop,65,86,2010
California Gurls,dance pop,125,78,2010
Teenage Dream,dance pop,120,76,2010
Commander,alt hip hop,125,54,2010
TiK ToK,dance pop,120,86,2010
Your Love Is My Drug,dance pop,120,75,2010
Take It Off,dance pop,125,74,2010
Blah Blah Blah (feat. 3OH!3),dance pop,120,67,2010
Wavin' Flag,reggae fusion,76,63,2010
Live Like We're Dying,idol,92,57,2010
Bad Romance,art pop,119,86,2010
Telephone,art pop,122,75,2010
Alejandro,art pop,99,72,2010
Right Above It,hip hop,76,74,2010
My Chick Bad,alt hip hop,85,73,2010
How Low,alt hip hop,144,68,2010
Misery,pop,103,70,2010
When We Collide,talent show,82,52,2010
Cooler Than Me - Single Mix,dance pop,130,81,2010
Can't Be Tamed,dance pop,117,69,2010
Animal,modern alternative rock,148,76,2010
Fireflies,indietronica,180,84,2010
She Said,grime,147,39,2010
Only Girl (In The World),barbadian pop,126,82,2010
Rude Boy,barbadian pop,174,80,2010
What's My Name?,barbadian pop,100,75,2010
Man Down,barbadian pop,156,65,2010
Hard,barbadian pop,182,60,2010
Dancing On My Own - Radio Edit,art pop,117,65,2010
King of Anything,acoustic pop,119,66,2010
This Ain't a Love Song,dance pop,177,58,2010
Eenie Meenie,dance pop,121,72,2010
Riverside,dutch house,126,42,2010
Alors on danse - Radio Edit,belgian pop,120,83,2010
Stuck Like Glue,contemporary country,84,73,2010
One - Radio Edit,dance pop,125,62,2010
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,dance pop,125,52,2010
Dynamite,dance pop,120,85,2010
Break Your Heart,dance pop,122,79,2010
The Flood,boy band,101,63,2010
Back To December,pop,142,71,2010
Mine,pop,121,70,2010
Today Was A Fairytale,pop,158,56,2010
If I Die Young,contemporary country,131,74,2010
For the First Time,celtic rock,174,66,2010
All Time Low,boy band,134,63,2010
Seek Bromance (Avicii Vocal Edit),edm,126,55,2010
Carry Out (Featuring Justin Timberlake),dance pop,116,74,2010
If We Ever Meet Again (Featuring Katy Perry),dance pop,126,74,2010
Pass Out,dance pop,91,51,2010
Written in the Stars (feat. Eric Turner),dance pop,123,51,2010
"Hey, Soul Sister",dance pop,97,87,2010
Billionaire (feat. Bruno Mars),dance pop,87,77,2010
Bottoms Up (feat. Nicki Minaj),dance pop,74,78,2010
Say Aah (feat. Fabolous),dance pop,93,68,2010
What You Know,indie rock,139,76,2010
DJ Got Us Fallin' In Love (feat. Pitbull),alt hip hop,120,84,2010
OMG (feat. will.i.am),alt hip hop,130,78,2010
Hey Daddy (Daddy's Home),alt hip hop,96,65,2010
No Hands (feat. Roscoe Dash & Wale),alt hip hop,131,63,2010
We No Speak Americano (Edit),australian dance,125,65,2010
BedRock,dance pop,148,76,2010
Rolling in the Deep,british soul,105,84,2011
Set Fire to the Rain,british soul,108,81,2011
Mr. Saxobeat,dance pop,127,69,2011
What the Hell,canadian pop,150,80,2011
Lighters,detroit hip hop,90,74,2011
Love On Top,dance pop,94,79,2011
Best Thing I Never Had,dance pop,99,74,2011
Skinny Love,pop,166,77,2011
Just Can’t Get Enough,dance pop,94,81,2011
Honey Bee,contemporary country,206,69,2011
Holocene,eau claire indie,148,70,2011
I Wanna Go,dance pop,130,71,2011
Till the World Ends,dance pop,132,71,2011
Grenade,dance pop,110,82,2011
Marry You,dance pop,145,79,2011
The Lazy Song,dance pop,175,77,2011
Bounce (feat. Kelis) - Radio Edit,dance pop,128,67,2011
Blind Faith,dancefloor dnb,140,66,2011
Champion (feat. Chris Brown),grime,190,54,2011
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),dance pop,146,77,2011
Yeah 3x,dance pop,130,74,2011
Beautiful People,dance pop,128,59,2011
Jar of Hearts,dance pop,75,77,2011
You Make Me Feel... (feat. Sabi),dance pop,132,75,2011
Paradise,permanent wave,140,88,2011
Every Teardrop Is a Waterfall,permanent wave,118,75,2011
Where Them Girls At (feat. Nicki Minaj & Flo Rida),big room,130,69,2011
Who's That Chick? (feat. Rihanna),big room,128,66,2011
Coming Home,hip pop,168,74,2011
Louder,dancefloor dnb,140,40,2011
I'm On One,dance pop,149,75,2011
I Need A Doctor,g funk,156,77,2011
Headlines,canadian hip hop,152,80,2011
The A Team,pop,85,80,2011
Lego House,pop,160,77,2011
Stereo Love - Radio Edit,romanian house,127,71,2011
Tonight (I'm Fuckin' You),dance pop,126,65,2011
Springsteen,contemporary country,104,77,2011
Changed the Way You Kiss Me - Radio Edit,dance pop,127,69,2011
Rocketeer,asian american hip hop,96,73,2011
Shake It Out,baroque pop,107,68,2011
Pumped Up Kicks,indietronica,128,88,2011
Tongue Tied,indie pop,113,84,2011
Stereo Hearts (feat. Adam Levine),dance pop,90,87,2011
Tonight Tonight,dance pop,100,79,2011
Dirt Road Anthem,contemporary country,127,77,2011
It Girl,dance pop,92,76,2011
Don't Wanna Go Home,dance pop,122,68,2011
On The Floor,dance pop,130,84,2011
Down On Me,chicago rap,160,77,2011
Do It Like A Dude,dance pop,140,53,2011
All Of The Lights,chicago rap,142,82,2011
Last Friday Night (T.G.I.F.),dance pop,126,80,2011
Firework,dance pop,124,72,2011
E.T.,dance pop,152,71,2011
Motivation,alt hip hop,141,70,2011
Pretty Girl Rock,dance pop,160,72,2011
We R Who We R,dance pop,120,77,2011
Blow,dance pop,120,75,2011
Earthquake (feat. Tinie Tempah),indie poptimism,153,68,2011
Just A Kiss,contemporary country,143,69,2011
Born This Way,art pop,124,73,2011
The Edge Of Glory,art pop,128,68,2011
6 Foot 7 Foot,hip hop,79,77,2011
How To Love,hip hop,154,72,2011
Party Rock Anthem,dance pop,130,74,2011
Sexy And I Know It,dance pop,130,68,2011
The Show Goes On,chicago rap,143,76,2011
I Follow Rivers - The Magician Remix,art pop,122,67,2011
Midnight City,french shoegaze,105,76,2011
Donald Trump,hip hop,163,67,2011
Buzzin Remix,pop rap,104,53,2011
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",pop,128,75,2011
Sure Thing,dance pop,81,84,2011
When We Stand Together,alternative metal,188,71,2011
Super Bass,dance pop,127,83,2011
L.I.F.E.G.O.E.S.O.N.,indie folk,82,63,2011
Heart Skips a Beat (feat. Rizzle Kicks),dance pop,111,66,2011
Good Life,dance pop,95,78,2011
Raise Your Glass,dance pop,122,81,2011
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",dance pop,129,86,2011
Hey Baby (Drop It to the Floor) (feat. T-Pain),dance pop,128,76,2011
Read All About It,grime,101,35,2011
The Adventures of Rain Dance Maggie,alternative rock,106,71,2011
S&M,barbadian pop,128,82,2011
We Found Love,barbadian pop,128,80,2011
What's My Name?,barbadian pop,100,75,2011
Down With The Trumpets,uk hip hop,115,65,2011
Loca People - Radio Edit,electro house,128,45,2011
Love You Like A Love Song,dance pop,117,85,2011
Who Says,dance pop,101,81,2011
Sweat - Remix,g funk,130,73,2011
Save The World,dance pop,127,70,2011
Higher,dance pop,128,51,2011
If I Die Young,contemporary country,131,74,2011
Glad You Came,boy band,127,83,2011
More - RedOne Jimmy Joker Remix,alt hip hop,125,72,2011
No Hands (feat. Roscoe Dash & Wale),alt hip hop,131,81,2011
Black and Yellow,dance pop,164,80,2011
Roll Up,dance pop,125,68,2011
Skyfall,british soul,76,80,2012
Rumour Has It,british soul,120,72,2012
Years,dance pop,128,53,2012
Too Close,modern alternative rock,126,67,2012
Breezeblocks,indie rock,150,77,2012
R U Mine?,garage rock,97,39,2012
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,israeli pop,119,72,2012
Levels - Radio Edit,dance pop,126,82,2012
Silhouettes - Original Radio Edit,dance pop,128,68,2012
212,dance pop,126,73,2012
So Good,alt hip hop,86,70,2012
Locked out of Heaven,dance pop,144,91,2012
It Will Rain,dance pop,150,74,2012
Feel So Close - Radio Edit,dance pop,128,85,2012
Let's Go (feat. Ne-Yo),dance pop,128,71,2012
We'll Be Coming Back (feat. Example),dance pop,128,68,2012
Call Me Maybe,canadian pop,120,76,2012
Blown Away,contemporary country,137,68,2012
Want U Back,dance pop,98,71,2012
Turn Up the Music,dance pop,130,69,2012
Paradise,permanent wave,140,88,2012
Princess of China,permanent wave,85,72,2012
Turn Me On (feat. Nicki Minaj),big room,128,64,2012
In The Dark,dance pop,125,62,2012
Latch,edm,122,75,2012
Hot Right Now - Edit,dancefloor dnb,175,41,2012
Take Care,canadian hip hop,122,81,2012
The Motto,canadian hip hop,202,79,2012
Lights - Single Version,dance pop,120,68,2012
Good Feeling,dance pop,128,81,2012
Spectrum (Say My Name) - Calvin Harris Remix,baroque pop,126,59,2012
Lost,alternative r&b,123,91,2012
Thinkin Bout You,alternative r&b,130,81,2012
We Are Young (feat. Janelle Monáe),baroque pop,184,79,2012
Some Nights,baroque pop,108,76,2012
Somebody That I Used To Know,australian pop,129,81,2012
Oblivion,art pop,156,71,2012
Ass Back Home (feat. Neon Hitch),dance pop,130,67,2012
I Love It (feat. Charli XCX),candy pop,126,74,2012
It's Time,modern rock,105,72,2012
On Top Of The World,modern rock,100,72,2012
Ni**as In Paris,east coast hip hop,140,88,2012
Boyfriend,canadian pop,97,68,2012
Mercy,chicago rap,140,79,2012
Brokenhearted,dance pop,120,70,2012
The One That Got Away,dance pop,134,78,2012
Part Of Me,dance pop,130,78,2012
Swimming Pools (Drank) - Extended Version,conscious hip hop,74,76,2012
m.A.A.d city,conscious hip hop,91,73,2012
Die Young,dance pop,128,83,2012
C'Mon,dance pop,126,67,2012
Ride,art pop,94,64,2012
Video Games,art pop,122,63,2012
Born To Die,art pop,86,62,2012
BURN IT DOWN,alternative metal,110,79,2012
Sexy And I Know It,dance pop,130,68,2012
Battle Scars (with Guy Sebastian),chicago rap,168,74,2012
Primadonna,art pop,128,84,2012
How to Be a Heartbreaker,art pop,140,77,2012
One More Night,pop,93,74,2012
Payphone,pop,110,69,2012
Adorn,dance pop,179,72,2012
Madness,modern rock,180,72,2012
Everybody Talks,modern alternative rock,155,85,2012
Starships,dance pop,125,78,2012
Pound The Alarm,dance pop,125,69,2012
Dirty Paws,folk-pop,112,74,2012
Troublemaker (feat. Flo Rida),dance pop,106,80,2012
What Makes You Beautiful,boy band,125,88,2012
